node1,node2,relation
5925,4110,interacts
CID000005391,CID000005523,C0042029
CID000004053,CID000004583,C0027947
CID000005039,CID000005656,C0005779
CID000004599,CID000004917,C0018790
81892,3336,interacts
CID000000772,CID004475485,C0008350
CID000002771,CID000005090,C0009193
CID000000271,CID000005039,C0027080
CID000003333,CID000027661,C0003504
CID000001971,CID000002806,C0008031
CID000003883,CID000005379,C0019158
1051,5469,interacts
CID000001117,CID000005206,C0750426
CID000000772,CID000004595,C0030252
8452,55210,interacts
CID000005556,CID000065999,C0036974
CID000003042,CID000003161,C0231528
CID000003749,CID000005095,C0027424
CID000005412,CID000005717,C0042485
CID000003890,CID000062924,C0018965
CID000004547,CID000005523,C0003467
CID000003325,CID000003339,C0002874
CID000004634,CID000005203,C0013362
CID000002187,CID000005408,C0020615
166785,867,interacts
CID000003937,CID000004506,C0009676
9048,5567,interacts
CID000002170,CID000003404,C0020473
CID000003310,CID000005656,C0003123
CID000002088,CID000064147,C0015230
CID000002909,CID000005651,C0022661
CID000003121,CID000004946,C0011860
CID000001983,CID000072938,C0002871
CID000004594,CID000068740,C0267596
CID000002666,CID000003308,C0037763
CID000004510,CID000005656,C0003864
CID000001117,CID000003003,C0017565
CID000003345,CID000004052,C0012833
CID000003825,CID000003883,C0042024
CID000005376,CID000060953,C0020615
5983,5885,interacts
CID000002520,CID000004052,C0162429
6921,55840,interacts
274,1856,interacts
CID000001983,CID000004058,C0014863
CID000000450,CID000003478,C0011860
CID000001302,CID000002244,C0029882
CID000005651,CID000059708,C0243026
23020,51503,interacts
CID000002907,CID000005267,C0878544
CID000002267,CID000005090,C0221706
CID000002585,CID000060835,C0003850
CID000003365,CID000005656,C0750426
5566,130075,interacts
CID000003325,CID000003461,C0014868
CID000002764,CID000003658,C0558489
CID000002771,CID000004829,C1527344
CID000002156,CID000003749,C0034065
CID000003749,CID000005291,C0009144
CID000004510,CID000004585,C0043094
CID000004052,CID000005732,C0037763
29978,83714,interacts
CID000003899,CID000054454,C0595939
CID000002244,CID000083786,C0243026
CID000004679,CID000005038,C0037287
CID000004601,CID000005358,C0011991
CID000004409,CID000004917,C0019079
CID000004138,CID000119607,C0003864
CID000002171,CID000010631,C0043096
CID000002576,CID000005487,C0032584
CID000002162,CID000005076,C0015230
7155,5424,interacts
CID000003648,CID000003937,C0033975
CID000003121,CID000004236,C0005424
CID000003440,CID000004616,C0023903
CID000004107,CID000005352,C0010054
CID000002656,CID000004168,C0036983
CID000001983,CID000002476,C0001339
84172,8893,interacts
CID000003385,CID000060147,C0085614
CID000002311,CID000002764,C0043144
8294,5890,interacts
CID000005039,CID000005408,C0042963
CID000002662,CID000060835,C0040997
CID000003419,CID000005090,C0007859
CID000001302,CID000002520,C0231218
9915,10460,interacts
CID000002462,CID000004691,C0020440
CID000062924,CID006398525,C0003864
9319,9055,interacts
CID000002083,CID000005090,C0019079
CID000003639,CID000019090,C0033975
CID000003348,CID000004635,C0018520
54778,54439,interacts
4358,29957,interacts
CID000003446,CID000004201,C0085610
CID000000838,CID000005038,C0042963
CID000002806,CID000005029,C0702166
CID000000937,CID000003883,C0036341
CID000004585,CID000004946,C0242362
CID000005039,CID000005401,C0020625
CID000002512,CID004659568,C0750426
CID000000861,CID000004171,C0036572
CID000003961,CID000093860,C0026858
CID000002771,CID000003348,C0030196
CID000003878,CID005311297,C0227791
CID000005472,CID000068740,C0012833
CID000003386,CID000003715,C0011991
CID000005076,CID000005212,C0575081
CID000010631,CID000060852,C0040460
CID000003419,CID000005656,C0017168
CID000001983,CID000003467,C0038525
57693,55216,interacts
CID000003937,CID000005203,C0000737
CID000002284,CID000002812,C0700594
CID000003386,CID000004513,C0027051
57085,79016,interacts
CID000001971,CID000005372,C0008031
CID000002662,CID000002812,C0028754
CID000000143,CID000004112,C0497327
CID000002088,CID000130881,C0035078
10994,390110,interacts
1958,2634,interacts
CID000004635,CID000005426,C0039070
CID000003825,CID000004253,C0000737
CID000004138,CID000077999,C0016204
CID000004171,CID000005472,C0003811
CID000000143,CID000002802,C0003862
CID000002895,CID000027661,C0013395
CID000004595,CID000005155,C0025222
CID000004599,CID000034312,C0018674
CID000003793,CID000004510,C0085649
CID000003878,CID000005073,C0028738
CID000002802,CID000005544,C0018520
CID000002477,CID000071158,C0003486
CID000004409,CID000062924,C0040822
CID000005078,CID000123606,C0040997
CID000003957,CID000004543,C0021400
9737,23557,interacts
CID000005376,CID005311048,C0035078
CID000003386,CID000004159,C0016199
CID000002083,CID000123631,C0013144
CID000005039,CID000005544,C0162529
CID000003365,CID000110634,C0085614
CID000002524,CID000004091,C0012833
CID000002802,CID000004064,C0017601
54704,3717,interacts
23065,7417,interacts
CID000003902,CID000010631,C1527344
CID000004889,CID000054547,C0013604
CID000002909,CID000003384,C0026267
CID000000937,CID000005732,C0836924
51649,222235,interacts
CID000002771,CID000005651,C0575081
CID000002771,CID000003878,C0318712
CID000004054,CID000004170,C0009676
CID000003345,CID000004449,C0149725
CID000002435,CID000003365,C0017601
CID000002622,CID000004583,C0003504
CID000004091,CID000004173,C0042029
79572,538,interacts
CID000003325,CID000003957,C0037315
CID000000772,CID000003440,C0178428
CID000004107,CID000005538,C0036572
CID000003310,CID000003325,C0020440
CID000004691,CID005311048,C0020456
CID000003333,CID000005512,C0019080
CID000003339,CID000003463,C0006325
CID000000853,CID000123620,C0702166
6143,8668,interacts
CID000004856,CID000005656,C0024282
CID000004052,CID000005152,C0221706
CID000000853,CID000002477,C0012833
CID000125889,CID000170361,C1510472
CID000002022,CID000004583,C0002871
CID000003339,CID000004510,C0038358
5436,4831,interacts
CID000003559,CID000062924,C0002622
CID000003467,CID000003929,C0006266
29086,84896,interacts
CID000003639,CID000004691,C0007177
CID000000942,CID000004168,C0031350
CID000001690,CID000004171,C0032300
4609,5691,interacts
CID000003158,CID000004171,C0038358
CID000000937,CID000004170,C0151636
